TABU SEARCH
12823.000000 0.019961
12816.000000 0.026470
12789.000000 0.032800
12787.000000 0.039090
12776.000000 0.045367
12762.000000 0.051525
12759.000000 0.057783
12758.000000 0.064563
12750.000000 0.070814
12737.000000 0.077006
12732.000000 0.083163
12729.000000 0.095537
12724.000000 0.108002
12715.000000 0.114230
12711.000000 0.207715
12710.000000 0.213908
12702.000000 0.232377
12697.000000 0.281712
12694.000000 0.287871
12691.000000 0.318748
12686.000000 0.324906
12681.000000 0.843513
12676.000000 0.849666
12672.000000 0.855815
12669.000000 0.862061
12668.000000 0.868210
12665.000000 0.874361
12664.000000 0.880510
12663.000000 0.886661
12662.000000 0.892807
12654.000000 0.923565
12647.000000 0.948232
12645.000000 0.954380
12642.000000 0.966669
12627.000000 1.009791
12625.000000 1.015936
12619.000000 1.028228
12614.000000 1.046669
12598.000000 1.052814
12592.000000 1.059149
12577.000000 1.065454
12574.000000 1.173896
12572.000000 1.180934
12568.000000 1.207133
12566.000000 5.423642
12563.000000 5.429807
12562.000000 5.435966
12561.000000 5.442126
12551.000000 5.497798
12548.000000 5.547079
12542.000000 10.435358
12506.000000 10.441512
12487.000000 10.447662
12475.000000 10.453810
12468.000000 10.459961
12466.000000 10.466111
12450.000000 10.472260
12425.000000 10.478482
12213.000000 12.106419
12200.000000 12.112661
12189.000000 12.118816
12175.000000 12.124970
12167.000000 12.131124
12160.000000 12.137278
12153.000000 12.143433
12146.000000 12.149644
12139.000000 12.155868
12134.000000 12.162056
12129.000000 12.168278
12125.000000 12.174468
12122.000000 12.180633
12120.000000 12.187360
12115.000000 12.193914
12114.000000 12.200131
12113.000000 12.206369
12112.000000 12.212557
12100.000000 12.218712
12095.000000 12.224864
12090.000000 12.231018
12087.000000 12.237169
12079.000000 12.249509
12077.000000 12.286460
12074.000000 12.298769
12071.000000 12.341872
12068.000000 12.366520
12063.000000 12.385080
12062.000000 12.391236
12057.000000 12.409694
12054.000000 12.415847
12049.000000 12.434344
12046.000000 12.440497
12038.000000 14.005487
12030.000000 14.011639
12025.000000 14.017787
12021.000000 14.023937
12017.000000 14.030121
12014.000000 14.036269
12006.000000 14.067033
12005.000000 14.128599
11987.000000 14.134751
11976.000000 14.140935
11973.000000 14.147085
11970.000000 14.153236
11969.000000 14.159389
11964.000000 14.165537
11952.000000 14.171688
11947.000000 14.177838
11944.000000 14.184034
11943.000000 17.814651
11938.000000 17.820801
11936.000000 17.826951
11928.000000 17.888553
11926.000000 17.919311
11924.000000 17.925496
11923.000000 17.931649
11922.000000 17.937797
11922.000000 120.001086
